Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
xxxx,08/15/22,08/15/22,Credit Balance Refund,,Adjustment,-18.00,
xxxx,03/29/22,03/29/22,Payment Thank You,,Payment,20.00,
xxxx,03/03/22,03/03/22,Cloud Workspace Subscription,Professional Services,Sale,-6.00,
xxxx,02/02/22,02/02/22,Cloud Workspace Subscription,Professional Services,Sale,-6.00,
xxxx,01/02/22,01/03/22,Cloud Workspace Subscription,Professional Services,Sale,-6.00,
xxxx,12/15/21,12/15/21,Online Software Service,Professional Services,Sale,-12.00,
xxxx,11/20/21,11/21/21,Annual Membership Fee,Fees & Adjustments,Fee,-95.00,
xxxx,11/05/21,11/05/21,Payment Thank You,,Payment,150.00,
xxxx,10/28/21,10/28/21,E-commerce Platform Fee,Professional Services,Sale,-29.00,
xxxx,10/15/21,10/16/21,Cloud Storage Service,Professional Services,Sale,-9.99,
xxxx,09/30/21,10/01/21,Domain Registration Service,Professional Services,Sale,-14.99,
xxxx,09/15/21,09/15/21,Payment Thank You,,Payment,100.00,
xxxx,08/28/21,08/29/21,Analytics Service Subscription,Professional Services,Sale,-8.00,
