Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
12/22/22,12/26/22,xxxx,Airline Travel Services,Airfare,310.48,
12/24/22,12/26/22,xxxx,Online Learning Platform,Merchandise,35.00,
12/22/22,12/22/22,xxxx,Tech Company Store,Merchandise,7.61,
12/22/22,12/22/22,xxxx,Hotel Booking Service,Lodging,265.10,
12/19/22,12/19/22,xxxx,Electronic Payment,Payment/Credit,,4809.29
12/19/22,12/19/22,xxxx,Rideshare Service,Other Travel,62.52,
12/12/22,12/13/22,xxxx,Online Marketplace Purchase,Merchandise,26.50,
12/08/22,12/09/22,xxxx,Streaming Service Subscription,Phone/Cable,16.09,
12/07/22,12/08/22,xxxx,Hotel Accommodation,Lodging,427.96,
12/06/22,12/07/22,xxxx,Music Streaming Service,Phone/Cable,10.87,
12/05/22,12/06/22,xxxx,Online Marketplace Purchase,Merchandise,73.07,
12/01/22,12/02/22,xxxx,Rideshare Service,Other Travel,28.80,
11/30/22,12/01/22,xxxx,Tech Company Store,Merchandise,2.99,
11/28/22,11/29/22,xxxx,Fast Casual Restaurant,Dining,30.05,
11/27/22,11/29/22,xxxx,Grocery Store,Merchandise,22.53,
